id;date;details;code;status;payment_method;payment_date;payment_amount;order_id
1;2021-01-14T03:28:47;RAM Focused;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2021-01-13T23:57:55;75071;1
2;2021-01-13T20:28:56;program Unbranded;SDR;ISSUED;CASH_ON_DELIVERY;2021-01-14T05:29:11;17323;2
3;2021-01-14T04:46:18;Incredible Baby;lime program;ISSUED;CASH_ON_DELIVERY;2021-01-14T11:38:45;92121;3
4;2021-01-14T01:14:13;transmitting EXE parse;Gloves Jamaican Dollar;CANCELLED;CREDIT_CARD;2021-01-13T19:14:04;33894;4
5;2021-01-14T14:11:04;Awesome;Integration structure;CANCELLED;PAYPAL;2021-01-14T07:14:41;72584;5
6;2021-01-13T19:23:26;SDD auxiliary Utah;analyzer Chips;PAID;CREDIT_CARD;2021-01-14T12:39:01;90614;6
7;2021-01-14T05:00:50;Colorado;Auto Loan Account Small Rubber Pants;ISSUED;CASH_ON_DELIVERY;2021-01-14T01:56:06;42722;7
8;2021-01-14T04:52:24;Handcrafted Steel Ball CSS;Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2021-01-14T09:45:52;44406;8
9;2021-01-13T22:42:22;Credit Card Account;Assurance;ISSUED;CASH_ON_DELIVERY;2021-01-14T17:44:49;36970;9
10;2021-01-13T21:56:10;functionalities bifurcated;Generic Cotton Car;ISSUED;PAYPAL;2021-01-14T16:02:13;52363;10
