id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2021-01-13T20:16:57;payment unleash Jamaican Dollar;1
2;Rest;2021-01-14T15:33:27;Plains;2
3;Quality Plastic plum;2021-01-13T19:53:49;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2021-01-14T16:21:01;Architect SSL;4
5;zero tolerance;2021-01-14T13:17:20;user-facing CSS;5
6;ADP Ouguiya;2021-01-14T09:13:48;Garden;6
7;auxiliary;2021-01-14T17:29:48;functionalities Bedfordshire withdrawal;7
8;Data;2021-01-13T20:27:49;Viaduct hybrid;8
9;mesh;2021-01-14T18:53:28;human-resource Shoes Wooden;9
10;calculate value-added Metal;2021-01-14T16:52:22;Re-engineered withdrawal Ball;10
